name,ticker_purch,tdate_purch,bought_?,s_104,p_104,s_52,p_52,s_26,p_26
"Roberts, Pat",COST,2016/11/14,2017/02/20,2019/02/18,0.2354,2018/02/19,0.074,2017/08/21,-0.1101
"Perdue Jr., David A.",SUN,2018/01/31,2018/05/09,2020/05/06,-0.1218,2019/05/08,0.1067,2018/11/07,-0.0138
"Perdue Jr., David A.",NKE,2016/05/16,2016/08/22,2018/08/20,0.3832,2017/08/21,-0.0894,2017/02/20,-0.0378
"Perdue Jr., David A.",PFE,2017/02/13,2017/05/22,2019/05/20,0.2845,2018/05/21,0.1049,2017/11/20,0.0945
"Shalala, Donna",MGPI,2019/04/30,2019/08/06,2021/08/03,0.1294,2020/08/04,-0.3141,2020/02/04,-0.3519
"Courtney, Joe",HON,2019/12/31,2020/04/07,2022/04/05,,2021/04/06,0.5856,2020/10/06,0.2194
"Perdue Jr., David A.",WPX,2015/03/16,2015/06/22,2017/06/19,,2016/06/20,,2015/12/21,
"Hoeven, John",F,2017/05/15,2017/08/21,2019/08/19,-0.1445,2018/08/20,-0.0888,2018/02/19,0.0019
"Roberts, Pat",FB,2016/06/29,2016/10/05,2018/10/03,0.2594,2017/10/04,0.3208,2017/04/05,0.1095
"Roberts, Pat",BA,2014/12/19,2015/03/27,2017/03/24,0.187,2016/03/25,-0.1133,2015/09/25,-0.1206
"Perdue Jr., David A.",GPK,2018/10/30,2019/02/05,2021/02/02,0.3102,2020/02/04,0.2988,2019/08/06,0.1772
"Peters, Gary C.",SPG,2016/12/30,2017/04/07,2019/04/05,0.0846,2018/04/06,-0.0854,2017/10/06,-0.0588
"Roberts, Pat",AAPL,2014/09/12,2014/12/19,2016/12/16,0.0322,2015/12/18,-0.0427,2015/06/19,0.1302
"Perdue Jr., David A.",RF,2017/11/30,2018/03/08,2020/03/05,-0.2945,2019/03/07,-0.2155,2018/09/06,0.0
"Whitehouse, Sheldon",GE,2016/05/04,2016/08/10,2018/08/08,-0.5817,2017/08/09,-0.1816,2017/02/08,-0.0598
"Cassidy, William",CVS,2019/01/25,2019/05/03,2021/04/30,0.3527,2020/05/01,0.0591,2019/11/01,0.1846
"Collins, Susan M.",RHT,2016/08/01,2016/11/07,2018/11/05,,2017/11/06,,2017/05/08,
"Collins, Susan M.",COP,2014/04/17,2014/07/24,2016/07/21,-0.5206,2015/07/23,-0.3734,2015/01/22,-0.2524
"Perdue Jr., David A.",HBI,2017/08/16,2017/11/22,2019/11/20,-0.2444,2018/11/21,-0.2187,2018/05/23,-0.0786
"Perdue Jr., David A.",DIS,2016/12/16,2017/03/24,2019/03/22,-0.0346,2018/03/23,-0.1101,2017/09/22,-0.1192
