official,ticker,buy_date,sell_date,profit
"Capito, Shelley M.",XOM,2018/04/24,2018/08/14,-0.38
"Murray, Patty",PG,2017/03/16,2017/07/06,-3.75
"Perdue Jr., David A.",BWXT,2019/01/15,2019/05/07,9.19
"Beyer, Donald S.",EDIT,2019/12/23,2020/04/13,-9.91
"Perdue Jr., David A.",GPK,2019/08/09,2019/11/29,2.63
"Cisneros, Gilbert",WFC,2019/12/06,2020/03/27,-23.86
"Perdue Jr., David A.",SPY,2017/12/13,2018/04/04,-6.62
"Perdue Jr., David A.",DISCA,2015/08/12,2015/12/02,1.93
"Shalala, Donna",KUBTY,2019/01/15,2019/05/07,-1.97
"King Jr., Angus S.",SLB,2017/11/28,2018/03/20,3.77
"McConnell Jr., A. M.",WFC,2018/03/05,2018/06/25,-3.66
"Perdue Jr., David A.",HBI,2018/05/04,2018/08/24,0.98
"Perdue Jr., David A.",DISCA,2015/07/27,2015/11/16,-1.62
"Perdue Jr., David A.",HBI,2017/08/28,2017/12/18,-3.16
"Whitehouse, Sheldon",CB,2018/05/07,2018/08/27,3.65
"Shalala, Donna",VRTX,2019/04/18,2019/08/08,12.29
"Collins, Susan M.",SRCL,2016/03/09,2016/06/29,-13.19
