official,ticker,buy_date,sell_date,profit
"McConnell Jr., A. M.",WFC,2018/03/05,2018/04/02,-5.87
"Perdue Jr., David A.",HBI,2018/05/04,2018/06/01,1.63
"Perdue Jr., David A.",DISCA,2015/07/27,2015/08/24,-5.9
"Perdue Jr., David A.",HBI,2017/08/28,2017/09/25,0.13
"Whitehouse, Sheldon",CB,2018/05/07,2018/06/04,-1.19
"Shalala, Donna",VRTX,2019/04/18,2019/05/16,3.45
"Collins, Susan M.",SRCL,2016/03/09,2016/04/06,12.37
"Capito, Shelley M.",INTC,2018/01/26,2018/02/23,-2.09
"Perdue Jr., David A.",BOIVF,2019/11/07,2019/12/05,-0.27
"Perdue Jr., David A.",BAH,2019/12/31,2020/01/28,7.14
"Capito, Shelley M.",CSX,2017/12/20,2018/01/17,0.66
"Perdue Jr., David A.",SHLX,2018/02/06,2018/03/06,-1.59
"Perdue Jr., David A.",BOIVF,2019/02/01,2019/03/01,0.33
"Whitehouse, Sheldon",PANW,2014/02/25,2014/03/25,-2.0
"Shalala, Donna",PNGAY,2019/03/18,2019/04/15,1.42
"Capito, Shelley M.",NVS,2018/04/24,2018/05/22,-0.08
"Whitehouse, Sheldon",PCAR,2014/11/25,2014/12/23,2.12
"Shalala, Donna",AMH,2019/06/04,2019/07/02,0.32
"Inhofe, James M.",DHR,2018/07/26,2018/08/23,-3.65
"Roberts, Pat",NOC,2019/11/04,2019/12/02,1.25
"Perdue Jr., David A.",HBI,2017/08/17,2017/09/14,1.26
"Hoeven, John",PRU,2019/11/19,2019/12/17,1.31
