official,ticker,buy_date,profit,sell_date
"Perdue Jr., David A.",CZR,2017/10/13,10.82,2019/09/04
"Perdue Jr., David A.",CZR,2017/10/17,33.5,2020/02/25
"Perdue Jr., David A.",CZR,2017/10/06,15.12,2019/08/05
"Perdue Jr., David A.",CZR,2018/01/03,12.78,2019/06/25
"Perdue Jr., David A.",CZR,2018/04/02,11.94,2019/06/27
"Perdue Jr., David A.",CZR,2018/12/31,13.24,2019/07/08
"Perdue Jr., David A.",CZR,2019/01/04,2.47,2019/08/07
"Perdue Jr., David A.",CZR,2018/06/28,5.83,2019/06/28
"Perdue Jr., David A.",CZR,2018/06/27,5.53,2020/03/02
"Perdue Jr., David A.",CZR,2018/08/01,5.75,2019/07/10
"Perdue Jr., David A.",CZR,2018/08/08,4.37,2019/07/01
"Perdue Jr., David A.",CZR,2018/08/10,5.0,2020/02/28
"Perdue Jr., David A.",CZR,2018/06/20,9.43,2020/02/26
"Murray, Patty",UPS,2017/03/16,1.97,2017/06/15
"Perdue Jr., David A.",ANTM,2019/09/30,10.52,2020/04/14
"Malinowski, Tom",AMRC,2021/03/09,10.37,2021/05/26
"Malinowski, Tom",AMRC,2020/11/10,21.15,2021/02/05
"Malinowski, Tom",AMRC,2020/12/18,11.49,2021/01/08
"Reed, John F.",TMO,2016/11/23,115.81,2019/02/28
"Reed, John F.",TMO,2016/09/12,70.34,2018/03/09
"Beyer, Donald S.",IAU,2020/02/14,4.22,2020/07/14
"Gianforte, Greg",FANUY,2020/01/13,-0.94,2020/08/04
"Cassidy, William",DOW,2020/03/09,15.48,2020/11/05
"Perdue Jr., David A.",MO,2016/01/20,-15.5,2020/04/14
"Inhofe, James M.",ST,2017/06/19,5.33,2018/06/28
"Shalala, Donna",EXEL,2019/02/06,0.21,2019/04/16
"Shalala, Donna",EXEL,2019/01/09,-3.3,2019/06/04
"Murray, Patty",KMI,2017/03/16,-2.63,2017/06/15
"Perdue Jr., David A.",RF,2015/05/20,5.91,2019/10/23
"Perdue Jr., David A.",RF,2020/03/16,1.99,2020/04/14
"Beyer, Donald S.",NEE,2019/12/23,16.39,2021/07/21
"Beyer, Donald S.",NEE,2020/01/14,-4.69,2020/05/04
"Beyer, Donald S.",NEE,2020/01/28,-8.21,2020/05/20
"Beyer, Donald S.",NEE,2020/02/14,-4.26,2020/07/14
"Perdue Jr., David A.",TRP,2017/03/24,3.01,2018/01/05
"Perdue Jr., David A.",TRP,2017/09/01,-5.98,2019/03/06
"Perdue Jr., David A.",TRP,2020/03/13,6.4,2020/04/15
"Jacobs, Sara",TTEK,2021/02/19,1.44,2021/04/09
"Schrader, Kurt",AVGO,2021/02/05,19.76,2021/02/16
"Murray, Patty",PG,2017/03/16,-2.48,2017/06/15
"Gottheimer, Josh",ETSY,2021/03/15,-51.84,2021/06/15
"Wyden, Ronald L.",KR,2020/08/05,0.76,2020/08/24
"Capito, Shelley M.",ICE,2018/02/27,-1.22,2019/03/11
"Scott, Austin",NVVE,2021/04/13,3.04,2021/06/14
"Scott, Austin",NVVE,2020/07/16,2.78,2021/08/10
"Roberts, Pat",BAC,2014/03/14,13.89,2018/07/24
"Roberts, Pat",BAC,2014/03/10,-0.97,2014/08/26
"Roberts, Pat",BAC,2017/09/07,7.48,2018/02/05
"Roberts, Pat",BAC,2016/12/15,0.99,2017/07/28
"Roberts, Pat",BAC,2017/07/18,0.99,2017/09/26
"Axne, Cynthia",GOOG,2019/05/31,177.94,2020/04/17
"Beyer, Donald S.",AAGIY,2021/01/12,-8.69,2021/09/27
"Carper, Thomas R.",KWEB,2020/04/02,24.05,2020/08/07
"Shalala, Donna",BIDU,2019/02/15,-55.88,2019/06/24
"Lee, Susie",RLGY,2020/12/11,3.7,2021/09/14
"Lee, Susie",RLGY,2020/12/10,2.95,2021/09/15
"Whitehouse, Sheldon",HAS,2016/10/26,7.16,2019/02/12
"Perdue Jr., David A.",CAT,2018/10/24,-5.78,2020/04/16
"Capito, Shelley M.",ASML,2017/09/08,20.11,2019/03/11
"Perdue Jr., David A.",WMB,2016/12/15,3.31,2018/01/05
"Perdue Jr., David A.",WMB,2016/11/11,-8.21,2020/02/19
"Perdue Jr., David A.",WMB,2016/11/18,-4.66,2018/10/24
"Perdue Jr., David A.",WMB,2016/12/12,0.01,2018/08/20
"Perdue Jr., David A.",WMB,2016/11/10,-9.55,2020/02/10
"Perdue Jr., David A.",WMB,2020/03/26,2.72,2020/04/15
"Wyden, Ronald L.",INTC,2020/06/17,5.27,2021/04/06
"Sherrill, Mikie",PRU,2020/01/21,-1.95,2020/02/20
"Phillips, Dean",BLL,2020/04/02,-4.08,2020/05/13
"Gottheimer, Josh",W,2021/03/12,-31.35,2021/09/29
"Loeffler, Kelly",CME,2020/02/24,-6.86,2020/02/28
"Loeffler, Kelly",CME,2020/03/19,37.78,2020/04/07
"Green, Mark",GLP,2020/07/02,14.04,2021/05/07
"Green, Mark",GLP,2020/06/10,10.67,2021/10/05
"Green, Mark",GLP,2020/08/04,9.68,2021/10/06
"Green, Mark",GLP,2020/08/06,-0.25,2020/08/14
"Inhofe, James M.",RSPP,2015/08/24,15.83,2017/11/13
"Roberts, Pat",NVDA,2017/09/28,92.08,2020/11/04
"Roberts, Pat",NVDA,2019/10/01,80.05,2020/09/04
"Roberts, Pat",NVDA,2017/12/07,6.81,2018/02/05
"Roberts, Pat",NVDA,2017/12/01,12.87,2018/07/30
"Roberts, Pat",NVDA,2017/11/30,8.66,2020/01/06
"Roberts, Pat",NVDA,2018/04/25,13.34,2020/03/02
"Roberts, Pat",NVDA,2018/02/05,16.5,2020/04/24
"Crenshaw, Daniel",TSLA,2021/11/09,-56.16,2021/11/12
"Crenshaw, Daniel",TSLA,2021/11/12,47.22,2021/12/29
"Perdue Jr., David A.",CIT,2015/03/12,-0.3,2015/08/21
"Perdue Jr., David A.",CIT,2015/02/05,-2.1,2015/08/31
"Perdue Jr., David A.",CIT,2015/02/17,-3.52,2015/08/26
"Perdue Jr., David A.",CIT,2015/03/02,-2.45,2015/08/28
"Perdue Jr., David A.",CIT,2015/02/12,-4.15,2015/08/24
"Langevin, James R.",BYND,2019/12/30,41.13,2020/02/07
"Langevin, James R.",BYND,2019/09/06,-74.72,2020/01/07
"Yarmuth, John A.",NFLX,2020/07/01,37.16,2021/03/05
"Curtis, John",DE,2020/03/27,203.49,2021/06/22
"Meijer, Peter",CHKP,2021/01/26,-13.06,2021/02/17
"Khanna, Rohit",MET,2021/02/11,11.18,2021/06/01
"Perdue Jr., David A.",AAPL,2016/01/28,56.96,2020/02/11
"Perdue Jr., David A.",AAPL,2016/02/11,26.16,2019/04/08
"Perdue Jr., David A.",AAPL,2016/02/12,16.85,2017/08/15
"Perdue Jr., David A.",AAPL,2016/01/27,33.11,2018/09/05
"Perdue Jr., David A.",AAPL,2016/02/03,14.67,2017/05/09
"Perdue Jr., David A.",AAPL,2016/02/23,13.77,2017/06/09
