ticker,transaction_date,number_of_transactions
BOH,2020/11/16,1
DBX,2020/11/16,1
DPSGY,2020/11/13,1
CNS,2020/11/13,1
SUPN,2020/11/13,1
CSLT,2020/11/13,1
ALNY,2020/11/13,1
ACCYY,2020/11/13,1
ACSAY,2020/11/13,1
AEG,2020/11/13,1
AER,2020/11/13,1
AHKSY,2020/11/13,1
SAN,2020/11/13,1
BASFY,2020/11/13,1
BGNE,2020/11/13,1
CUK,2020/11/13,1
CRARY,2020/11/13,1
DLAKY,2020/11/13,1
EJPRY,2020/11/13,1
E,2020/11/13,1
EVVTY,2020/11/13,1
FINMY,2020/11/13,1
GLPEY,2020/11/13,1
HLPPY,2020/11/13,1
HSNGY,2020/11/13,1
HLDCY,2020/11/13,1
HTHIY,2020/11/13,1
ICL,2020/11/13,1
IPXHY,2020/11/13,1
ISNPY,2020/11/13,1
ISUZY,2020/11/13,1
KPELY,2020/11/13,1
MLCO,2020/11/13,1
MUFG,2020/11/13,1
MITSY,2020/11/13,1
NABZY,2020/11/13,1
NTXFY,2020/11/13,1
NWG,2020/11/13,1
NTTYY,2020/11/13,1
OMVKY,2020/11/13,1
IX,2020/11/13,1
POAHY,2020/11/13,1
PUK,2020/11/13,1
RYCEY,2020/11/13,1
SKFRY,2020/11/13,1
SDXAY,2020/11/13,1
FUJHY,2020/11/13,1
SOMMY,2020/11/13,1
SSUMY,2020/11/13,1
SMFG,2020/11/13,1
SUHJY,2020/11/13,1
SSREY,2020/11/13,1
TLSYY,2020/11/13,1
TRYIY,2020/11/13,1
VONOY,2020/11/13,1
WJRYY,2020/11/13,1
WIX,2020/11/13,1
WOPEY,2020/11/13,1
WPP,2020/11/13,1
EPAM,2020/11/12,1
DOCU,2020/11/12,1
WXA.F,2020/11/12,1
HEP,2020/11/12,1
UTG,2020/11/12,1
CMO,2020/11/12,1
XMO,2020/11/12,1
TCBI,2020/11/12,1
HRI,2020/11/12,1
MPLN,2020/11/12,1
DFREX,2020/11/12,1
FAS,2020/11/11,1
TRREX,2020/11/11,1
UBS,2020/11/09,1
IWN,2020/11/09,1
MNP,2020/11/09,1
BXMDX,2020/11/09,1
VUG,2020/11/09,1
TLRY,2020/11/06,1
SNOW,2020/11/06,1
BEEM,2020/11/05,1
VAW,2020/11/05,1
GWPH,2020/11/05,1
EXPD,2020/11/04,1
CW,2020/11/04,1
LNT,2020/11/04,1
PRAH,2020/11/04,1
ACM,2020/11/04,1
RCI,2020/11/03,1
SBCF,2020/11/03,1
SYNH,2020/11/03,1
TEL,2020/11/03,1
KR,2020/11/02,1
GD,2020/10/30,1
REYN,2020/10/30,1
APEN,2020/10/30,1
ABCB,2020/10/29,1
VIAV,2020/10/29,1
ROG,2020/10/29,1
SDOG,2020/10/29,1
QYLD,2020/10/29,1
GWRE,2020/10/28,1
PRLB,2020/10/28,1
ENPH,2020/10/28,1
CSIQ,2020/10/28,1
SU,2020/10/26,1
VGPBF,2020/10/26,1
JFAMX,2020/10/26,1
HALO,2020/10/22,1
SLGN,2020/10/22,1
CVNA,2020/10/22,1
SLV,2020/10/22,1
XHB,2020/10/22,1
XLB,2020/10/22,1
XLI,2020/10/22,1
XLK,2020/10/22,1
XLC,2020/10/22,1
INVH,2020/10/22,1
NGG,2020/10/22,1
SKX,2020/10/22,1
TSN,2020/10/21,1
BBNTX,2020/10/21,1
SCZ,2020/10/20,1
GISYX,2020/10/20,1
