ticker,transaction_date,number_of_transactions
MANT,2020/07/09,1
SRVR,2020/07/09,1
RTH,2020/07/09,1
PTLC,2020/07/09,1
PTMC,2020/07/09,1
NKLA,2020/07/09,1
NXTG,2020/07/07,1
SIL,2020/07/07,1
FXI,2020/07/07,1
STX,2020/07/02,1
NIO,2020/07/02,1
PK,2020/06/29,1
COUP,2020/06/24,1
EPAY,2020/06/24,1
CRNC,2020/06/24,1
WCC,2020/06/23,1
CELC,2020/06/23,1
MSI,2020/06/22,1
LEN.B,2020/06/19,1
OWSMX,2020/06/18,1
KIDS,2020/06/18,1
BDC,2020/06/16,1
AROC,2020/06/11,1
FIDSX,2020/06/11,1
FSPHX,2020/06/11,1
SEDG,2020/06/10,1
EFG,2020/06/09,1
TRIP,2020/06/05,1
VMC,2020/06/05,1
NMIH,2020/06/05,1
MAR,2020/06/04,1
WTRG,2020/06/04,1
AMADY,2020/06/02,1
SUPN,2020/06/01,1
POR,2020/06/01,1
PGNY,2020/06/01,1
XCAPX,2020/05/28,1
VAC,2020/05/27,1
WFC$V,2020/05/26,1
AMZA,2020/05/26,1
EHC,2020/05/19,1
PHM,2020/05/19,1
CNK,2020/05/15,1
EOG,2020/05/14,1
DTE,2020/05/13,1
NI,2020/05/13,1
ADS,2020/05/13,1
BEN,2020/05/13,1
NEM,2020/05/13,1
CNI,2020/05/12,1
FLXN,2020/05/12,1
ULTA,2020/05/08,1
FANUF,2020/05/07,1
LEN,2020/05/07,1
YETI,2020/05/07,1
GH,2020/05/01,1
LVMHF,2020/05/01,1
SPLK,2020/05/01,1
TRNO,2020/05/01,1
HOG,2020/04/29,1
WELL,2020/04/29,1
BAESY,2020/04/29,1
TFX,2020/04/28,1
LDNXF,2020/04/28,1
SAIC,2020/04/28,1
GO,2020/04/28,1
EQIX,2020/04/28,1
TRU,2020/04/28,1
GLIBA,2020/04/28,1
TDDXX,2020/04/28,1
DAIUF,2020/04/28,1
PLNT,2020/04/27,1
ASGN,2020/04/27,1
JCI,2020/04/24,1
TEL,2020/04/24,1
WHR,2020/04/23,1
ICFI,2020/04/23,1
PSNL,2020/04/22,1
FCNTX,2020/04/18,1
DNKN,2020/04/17,1
IWM,2020/04/16,1
EEM,2020/04/16,1
OLP,2020/04/15,1
REYN,2020/04/15,1
SSL,2020/04/15,1
IMBBY,2020/04/15,1
AMT,2020/04/14,1
BAH,2020/04/14,1
COP,2020/04/14,1
TGT,2020/04/14,1
NKE,2020/04/14,1
JETS,2020/04/14,1
CHGCY,2020/04/14,1
FSD,2020/04/13,1
LYG,2020/04/09,1
NLOK,2020/04/08,1
AMP,2020/04/08,1
UPLD,2020/04/08,1
EBAY,2020/04/07,1
ARNA,2020/04/07,1
TFC,2020/04/07,1
TRV,2020/04/07,1
CAH,2020/04/07,1
SMG,2020/04/07,1
FLT,2020/04/07,1
ARMK,2020/04/07,1
PFGC,2020/04/07,1
HAYN,2020/04/07,1
QSR,2020/04/06,1
LSXMK,2020/04/06,1
ALNY,2020/04/06,1
LKQ,2020/04/03,1
MAS,2020/04/03,1
NXST,2020/04/03,1
AMCX,2020/04/03,1
IVV,2020/04/02,1
CFA,2020/04/02,1
FINX,2020/04/02,1
PTNQ,2020/04/02,1
KWEB,2020/04/02,1
ARCC,2020/04/02,1
GLAD,2020/04/02,1
APO,2020/04/02,1
TSN,2020/04/02,1
QLEIX,2020/04/02,1
CFG,2020/04/02,1
HPQ,2020/04/02,1
FITB,2020/04/02,1
JWN,2020/04/02,1
DISCK,2020/04/02,1
FLS,2020/04/02,1
PFG,2020/04/02,1
ZION,2020/04/02,1
CHDN,2020/04/01,1
ARNC,2020/04/01,1
MTSC,2020/03/31,1
HTLD,2020/03/31,1
HQY,2020/03/31,1
GLOB,2020/03/31,1
ADYEY,2020/03/30,1
TM,2020/03/26,1
DNTUY,2020/03/26,1
EXLS,2020/03/26,1
HST,2020/03/26,1
DSGX,2020/03/26,1
RQI,2020/03/26,1
FDRR,2020/03/26,1
PLYA,2020/03/26,1
IAT,2020/03/25,1
SPXC,2020/03/25,1
QGEN,2020/03/24,1
GOOS,2020/03/24,1
RL,2020/03/23,1
NWS,2020/03/23,1
ESS,2020/03/23,1
AGR,2020/03/23,1
MAA,2020/03/23,1
BAM,2020/03/20,1
BOIVF,2020/03/20,1
WDC,2020/03/20,1
NOK,2020/03/18,1
URI,2020/03/18,1
TDG,2020/03/18,1
CDLX,2020/03/18,1
STE,2020/03/18,1
LNC,2020/03/18,1
PEAK,2020/03/18,1
EMN,2020/03/18,1
IPG,2020/03/18,1
NTRS,2020/03/18,1
CNP,2020/03/18,1
DPSGY,2020/03/18,1
SVNLY,2020/03/18,1
IT,2020/03/18,1
SKVKY,2020/03/18,1
CS,2020/03/18,1
WBK,2020/03/18,1
TMSNY,2020/03/18,1
ATASY,2020/03/18,1
UHAL,2020/03/17,1
FHB,2020/03/17,1
APH,2020/03/17,1
WH,2020/03/17,1
ALGN,2020/03/16,1
FOX,2020/03/16,1
HUN,2020/03/16,1
EPR,2020/03/16,1
EVBG,2020/03/13,1
ED,2020/03/13,1
NCLTY,2020/03/12,1
NWSA,2020/03/10,1
M,2020/03/10,1
MSM,2020/03/10,1
EAF,2020/03/10,1
BIF,2020/03/10,1
PEB,2020/03/10,1
PSX,2020/03/09,1
TROW,2020/03/09,1
HELE,2020/03/09,1
BR,2020/03/05,1
SNOXX,2020/03/05,1
HASI,2020/03/04,1
WSO,2020/03/04,1
OSW,2020/03/03,1
LHCG,2020/03/03,1
ROST,2020/03/02,1
JBT,2020/03/02,1
HRB,2020/02/28,1
ANIK,2020/02/28,1
DPZ,2020/02/26,1
IPHI,2020/02/24,1
INMD,2020/02/24,1
HQL,2020/02/22,1
SSB,2020/02/21,1
ROLL,2020/02/21,1
GMED,2020/02/21,1
CTBI,2020/02/21,1
ENV,2020/02/21,1
ATRC,2020/02/21,1
SCHD,2020/02/21,1
RDS.B,2020/02/21,1
HMN,2020/02/21,1
SEIC,2020/02/20,1
FDS,2020/02/20,1
YUMC,2020/02/20,1
