scale_of_shares_roundedby5,number_of_transactions
"[30, 105]",1
"[675, 1345]",1
"[160, 540]",1
"[220, 725]",2
"[170, 2575]",1
"[130, 440]",4
"[80, 1195]",1
"[50, 770]",5
"[15, 55]",1
"[1545, 3860]",1
"[1925, 4810]",1
"[105, 345]",1
"[2805, 7010]",1
"[110, 1635]",2
"[35, 485]",3
"[880, 2930]",1
"[70, 1060]",2
"[185, 620]",6
"[230, 765]",1
"[620, 2075]",1
"[215, 715]",1
"[50, 740]",4
"[175, 590]",2
"[1245, 2490]",1
"[675, 1350]",1
"[735, 1470]",1
"[80, 275]",2
"[420, 1405]",2
"[135, 2025]",1
"[135, 2010]",1
"[395, 1320]",1
"[415, 1380]",1
"[1380, 2760]",1
"[1550, 3100]",1
"[540, 1800]",2
"[910, 1825]",1
"[1175, 2350]",1
"[275, 550]",1
"[380, 765]",1
"[90, 1360]",3
"[650, 1305]",1
"[955, 1910]",2
"[650, 2170]",1
"[340, 685]",1
"[615, 1225]",1
"[9120, 22805]",1
"[1085, 2165]",1
"[3945, 7890]",1
"[1100, 2205]",1
"[1730, 4325]",1
"[830, 1655]",1
"[575, 1435]",1
"[1240, 2480]",1
"[590, 1180]",1
"[4565, 11415]",1
"[460, 1540]",2
"[110, 1675]",1
"[320, 1075]",1
"[710, 2370]",1
"[1160, 3860]",1
"[1330, 2660]",1
"[1370, 2745]",1
"[1520, 3795]",1
"[1765, 4410]",1
"[555, 1115]",1
"[355, 1180]",1
"[170, 560]",1
"[965, 1930]",1
"[1385, 2770]",1
"[80, 1160]",2
"[45, 700]",3
"[170, 565]",3
"[20, 60]",1
"[130, 1950]",1
"[1960, 6530]",1
"[505, 1675]",1
"[365, 1210]",1
"[645, 2145]",1
"[515, 1025]",2
"[920, 1840]",1
"[360, 1205]",1
"[475, 950]",1
"[855, 1715]",1
"[875, 2185]",1
"[1630, 4075]",1
"[1655, 3315]",1
"[955, 1915]",1
"[950, 1895]",1
"[1360, 2715]",1
"[2420, 6055]",1
"[3320, 8300]",1
"[1205, 2410]",1
"[50, 175]",1
"[180, 600]",2
"[395, 1315]",1
"[210, 695]",2
"[660, 1325]",1
"[545, 1365]",1
"[4085, 8170]",1
"[8115, 20290]",1
"[515, 1720]",1
"[355, 5335]",1
"[955, 2395]",1
"[600, 1495]",1
"[1470, 3675]",1
"[1940, 3885]",1
"[3450, 8630]",1
"[965, 2405]",1
"[80, 1210]",1
"[3555, 8885]",1
"[1665, 3330]",1
"[345, 695]",1
"[1025, 2055]",1
"[275, 925]",1
"[495, 1655]",2
"[160, 525]",1
"[0, 0]",7
"[235, 475]",1
"[3995, 9990]",1
"[555, 1860]",1
"[90, 1375]",2
"[230, 465]",1
"[2000, 4000]",1
"[540, 1080]",1
"[1110, 2220]",1
"[4950, 9900]",1
"[970, 3235]",1
"[350, 1165]",1
"[785, 2610]",1
"[545, 1815]",1
"[1050, 3490]",1
"[1265, 2530]",1
"[920, 2300]",1
"[2145, 5355]",1
"[620, 1240]",1
"[840, 1685]",1
"[1090, 2180]",1
"[240, 810]",1
"[60, 890]",4
"[180, 355]",1
"[730, 1460]",1
"[425, 850]",2
"[2095, 4190]",1
"[1585, 3165]",1
"[2610, 5220]",1
"[65, 1000]",3
"[65, 950]",2
"[265, 875]",2
"[60, 195]",1
"[95, 1400]",1
"[530, 1065]",1
"[650, 1300]",1
"[615, 1230]",1
"[1225, 2450]",1
"[25, 85]",1
"[260, 875]",1
"[1640, 4105]",1
"[75, 1155]",1
"[405, 6060]",1
"[1150, 2300]",1
"[1650, 3300]",1
"[415, 1385]",4
"[1095, 3660]",1
"[340, 680]",1
"[710, 2360]",1
"[1730, 3460]",1
"[20, 70]",1
"[885, 1770]",1
"[6355, 12715]",1
"[1830, 3660]",1
"[620, 1235]",1
"[315, 1045]",1
"[820, 2735]",1
"[655, 2185]",1
"[260, 860]",1
"[85, 1280]",1
"[1055, 2105]",1
"[2135, 4270]",1
"[405, 815]",1
"[2335, 4665]",1
"[635, 2110]",1
"[120, 1820]",1
"[125, 1880]",1
"[770, 2560]",1
"[795, 2655]",1
"[775, 2585]",1
"[790, 2640]",1
"[925, 3090]",1
"[110, 1630]",1
"[1305, 3265]",1
"[700, 2330]",1
"[575, 1920]",1
"[435, 1450]",2
