official,ticker,buy_date,sell_date,profit
"Hoeven, John",CE,2019/05/30,2020/01/09,17.8
"Roberts, Pat",NFLX,2014/09/12,2015/04/24,11.52
"Shalala, Donna",EXEL,2019/01/09,2019/08/21,-1.82
"Perdue Jr., David A.",ALB,2019/10/29,2020/06/09,21.42
"Murray, Patty",KMB,2017/03/16,2017/10/26,-20.82
"Perdue Jr., David A.",HBI,2017/11/02,2018/06/14,0.36
"Perdue Jr., David A.",DVN,2018/01/24,2018/09/05,-2.9
"Collins, Susan M.",DHR,2017/03/02,2017/10/12,0.39
"Cisneros, Gilbert",KHC,2019/12/06,2020/07/17,3.63
"Murray, Patty",GSK,2017/03/16,2017/10/26,-5.3
"Courtney, Joe",KDP,2019/12/31,2020/08/11,0.77
"Inhofe, James M.",XON,2017/02/16,2017/09/28,-4.52
"Perdue Jr., David A.",GLW,2018/01/31,2018/09/12,1.97
"Murray, Patty",EXC,2017/03/16,2017/10/26,2.89
"Capito, Shelley M.",PII,2018/04/24,2018/12/04,-17.56
"Perdue Jr., David A.",AAPL,2019/01/03,2019/08/15,14.63
"Capito, Shelley M.",DWDP,2018/05/17,2018/12/27,-22.74
"Whitehouse, Sheldon",WM,2017/05/10,2017/12/20,13.19
"Cisneros, Gilbert",GDDY,2019/12/24,2020/08/04,3.14
"Whitehouse, Sheldon",KO,2015/08/10,2016/03/21,3.83
"Reed, John F.",XBI,2017/06/19,2018/01/29,23.58
"Capito, Shelley M.",ACN,2018/04/24,2018/12/04,14.14
"Collins, Susan M.",AAPL,2014/11/10,2015/06/22,4.64
"Capito, Shelley M.",LVMUY,2017/09/05,2018/04/17,17.34
"Hoeven, John",PG,2017/01/20,2017/09/01,5.26
"Perdue Jr., David A.",URBN,2019/12/30,2020/08/10,-8.21
"Perdue Jr., David A.",FEYE,2016/07/12,2017/02/21,-4.5
"Shalala, Donna",UNICY,2019/02/21,2019/10/03,-0.21
"Perdue Jr., David A.",FDX,2019/05/02,2019/12/12,-23.16
"Perdue Jr., David A.",RF,2018/12/21,2019/08/02,2.2
"Whitehouse, Sheldon",IBM,2017/11/27,2018/07/09,-8.09
"Whitehouse, Sheldon",T,2014/12/18,2015/07/30,1.6
"Shalala, Donna",HPQ,2019/05/20,2019/12/30,1.57
"Reed, John F.",TMO,2016/09/12,2017/04/24,11.95
"Perdue Jr., David A.",ALB,2019/12/05,2020/07/16,22.81
"Capito, Shelley M.",APD,2018/04/04,2018/11/14,-0.25
"Beyer, Donald S.",C,2019/12/23,2020/08/03,-28.44
"Perdue Jr., David A.",SUN,2018/02/05,2018/09/17,-2.39
"Capito, Shelley M.",XOM,2018/04/24,2018/12/04,1.7
"Murray, Patty",PG,2017/03/16,2017/10/26,-3.97
"Perdue Jr., David A.",BWXT,2019/01/15,2019/08/27,15.36
"Capito, Shelley M.",MDT,2018/04/24,2018/12/04,18.19
"Beyer, Donald S.",EDIT,2019/12/23,2020/08/03,-1.21
"Perdue Jr., David A.",DISCA,2015/03/13,2015/10/23,-2.37
"Perdue Jr., David A.",GPK,2019/08/09,2020/03/20,-2.36
"Cisneros, Gilbert",WFC,2019/12/06,2020/07/17,-28.8
"Perdue Jr., David A.",SPY,2017/12/13,2018/07/25,15.72
"Perdue Jr., David A.",DISCA,2015/08/12,2016/03/23,-0.51
"Shalala, Donna",KUBTY,2019/01/15,2019/08/27,-4.7
"King Jr., Angus S.",SLB,2017/11/28,2018/07/10,7.34
"McConnell Jr., A. M.",WFC,2018/03/05,2018/10/15,-4.03
"Perdue Jr., David A.",HBI,2018/05/04,2018/12/14,-2.89
"Perdue Jr., David A.",DISCA,2015/07/27,2016/03/07,-4.2
"Perdue Jr., David A.",HBI,2017/08/28,2018/04/09,-5.66
"Whitehouse, Sheldon",CB,2018/05/07,2018/12/17,-3.91
"Collins, Susan M.",SRCL,2016/03/09,2016/10/19,-39.18
